2134,59
2221,13
2311,27
2671,1
3426,100
3509,13
3695,59
4094,59
5086,59
5159,13
5244,1
5646,27
5963,27
6191,59
6468,27
6530,1
7168,59
7364,27
7832,27
8209,13
8315,59
8771,59
10030,59
10435,27
10604,59
10611,1
10648,59
10716,27
10944,1
11153,13
11460,13
11560,13
11797,59
12052,1
12135,13
12396,27
12477,27
12891,13
13158,13
13592,13
13735,1
14809,6
14811,32
14940,1
15006,52
15007,55
15008,29
15010,1
15041,3
15085,1
15095,3
15110,1
15127,8
15130,6
15131,1
15153,1
15162,4
15197,1
15199,13
15219,1
15284,6
15297,1
15319,27
15357,1
15374,1
15379,1
15395,3
15416,1
15426,4
15430,4
15434,8
15436,1
15438,1
15506,1
15518,12
15573,6
15622,5
15631,1
15663,5
15674,1
15696,4
15725,1
15760,1
15766,1
15778,1
15790,5
15796,7
15807,1
15808,1
15810,2
15816,1
15822,2
15838,1
15839,6
15849,1
15858,53
15859,3
15861,2
15865,6
15868,1
15872,1
15873,1
15874,1
15875,1
15877,1
15887,1
15891,1
15893,2
15895,1
15896,3
15897,32
15901,81
15915,11
15916,2
15919,33
15921,2
15922,2
15936,2
15940,1
15942,1
15949,1
15966,1
15973,12
16016,2
16018,1
16078,1
16083,1
16098,7
16134,1
16135,3
16181,4
16182,1
16183,3
16188,1
16208,4
16246,1
16289,1
16321,2
16328,3
16348,37
16349,22
16350,2
16409,1
16452,1
16475,2
16476,2
16482,2
16522,1
16528,1
16577,22
16603,1
16611,1
16653,4
16656,1
16691,1
16716,3
16725,11
16766,21
16767,2
16778,1
16781,1
16791,1
16794,1
16812,1
16863,9
16940,1
16945,2
17003,1
17046,5
17066,1
17087,1
17088,5
17090,1
17109,4
17130,32
17131,15
17132,16
17161,1
17173,1
17174,1
17197,1
17292,1
17296,3
17311,1
17312,1
17346,1
17360,2
17366,4
17367,2
17368,4
17414,1
17493,2
17536,1
17569,32
17570,1
17571,2
17584,2
17596,2
17600,1
17644,3
17653,1
17666,1
17688,1
17712,3
17747,1
17786,1
17816,1
17826,3
17831,43
17844,1
17862,1
17885,1
17893,1
17913,8
17927,8
17929,3
17975,1
18012,3
18092,8
18093,1
18147,2
18148,1
18149,2
18154,1
18169,1
18170,1
18250,5
18251,2
18320,3
18418,3
18430,1
18436,2
18461,3
18475,1
18476,1
18477,1
18478,1
18479,1
18480,1
18481,1
18482,1
18483,1
18484,1
18485,1
18488,1
18490,1
18578,1
18609,46
18649,2
18659,1
18661,4
18665,1
18674,4
18687,8
18688,20
18695,2
18761,3
18767,6
18768,1
18769,1
18780,3
18782,2
18785,4
18812,1
18853,4
18871,4
18914,6
18917,1
18919,13
18923,1
18961,13
18964,1
18978,1
18988,2
18994,1
18998,1
19001,39
19015,35
19033,2
19035,1
19038,13
19039,5
19043,9
19050,4
19066,2
19072,1
19087,5
19140,3
19147,1
19153,1
19161,1
19162,15
19165,1
19174,1
19192,1
19200,3
19201,10
19211,2
19227,16
19232,1
19238,8
19248,1
19258,1
19261,1
19264,6
19265,5
19269,14
19271,1
19273,8
19277,1
19279,1
19312,15
19321,43
19332,2
19335,15
19347,1
19366,1
19370,2
19383,1
19386,6
19388,7
19393,1
19402,13
19404,1
19418,18
19425,1
19427,6
19448,1
19454,5
19468,1
19469,1
19495,20
19508,4
19530,4
19533,1
19538,1
19543,1
19544,1
19547,1
19549,1
19550,2
19552,2
19557,1
19563,4
19575,13
19590,2
19601,1
19612,1
19618,1
19624,2
19625,2
19643,1
19648,1
19656,16
19657,1
19665,5
19667,1
19673,1
19675,4
19680,1
19716,2
19732,1
19750,1
19754,2
19785,29
19792,1
19801,18
19802,32
19806,1
19829,12
19830,1
19849,1
19868,3
19870,1
19876,1
19877,12
19881,1
19883,4
19884,5
19887,8
19888,6
19893,1
19900,1
19920,1
19933,1
19936,1
19952,14
19981,1
19994,1
19999,1
20009,1
20011,16
20030,1
20046,2
20054,8
20060,9
20063,1
20070,1
20085,3
20093,1
20105,1
20115,41
20117,1
20125,2
20130,4
20131,24
20135,4
20156,2
20158,5
20163,1
20168,17
20170,51
20185,29
20186,2
20189,2
20199,9
20200,8
20211,12
20218,2
20225,1
20238,1
20247,3
20263,1
20283,1
20291,16
20294,3
20297,2
20314,2
20330,47
20333,11
20341,1
20352,1
20354,5
20363,7
20366,2
20374,1
20379,29
